Date,Open,High,Low,Close,Volume
2024-01-29,1.1228,1.1375,1.092,1.126,2158526.0
2024-01-30,1.1241,1.1339,1.0968,1.106,2266954.0
2024-01-31,1.106,1.1102,1.062,1.0718,2632675.0
2024-02-01,1.0727,1.0989,1.0502,1.0932,2319502.0
2024-02-02,1.0932,1.1294,1.0892,1.1282,2069618.0
2024-02-03,1.1282,1.1493,1.1151,1.1218,1850873.0
2024-02-04,1.122,1.1297,1.1069,1.1168,1154331.0
2024-02-05,1.1165,1.1346,1.1009,1.1298,2205566.0
2024-02-06,1.129,1.1479,1.1133,1.1388,1495446.0
2024-02-07,1.1386,1.1619,1.126,1.151,1908832.0
2024-02-08,1.1518,1.17,1.1422,1.1454,1587782.0
2024-02-09,1.1454,1.1706,1.1181,1.1478,3774702.0
2024-02-10,1.1479,1.1656,1.1326,1.1561,2052290.0
2024-02-11,1.1567,1.1994,1.1508,1.1603,3054418.0
2024-02-12,1.1606,1.1976,1.1514,1.1909,2947378.0
2024-02-13,1.1909,1.2376,1.1712,1.1995,3856369.0
2024-02-14,1.2002,1.2309,1.1902,1.2262,2486517.0
2024-02-15,1.2265,1.2338,1.1906,1.2162,4421084.0
2024-02-16,1.2165,1.241,1.1925,1.2312,3919914.0
2024-02-17,1.2307,1.339,1.2202,1.3352,8487710.0
2024-02-18,1.335,1.39,1.3284,1.349,6304334.0
2024-02-19,1.3492,1.395,1.3196,1.3653,4709355.0
2024-02-20,1.3652,1.38,1.2562,1.3115,5253425.0
2024-02-21,1.3115,1.3246,1.2354,1.2817,4052133.0
2024-02-22,1.2811,1.3196,1.2413,1.2565,4657027.0
2024-02-23,1.2562,1.3254,1.2309,1.279,5807534.0
2024-02-24,1.2794,1.345,1.2666,1.3349,3503492.0
2024-02-25,1.3351,1.348,1.306,1.3291,2317282.0
2024-02-26,1.3298,1.3338,1.2824,1.3222,3712888.0
2024-02-27,1.3223,1.38,1.3139,1.3553,4765592.0
2024-02-28,1.3554,1.432,1.28,1.3877,8823482.0
2024-02-29,1.3876,1.4489,1.3373,1.3772,6910128.0
2024-03-01,1.3773,1.4334,1.3665,1.4282,4236667.0
2024-03-02,1.4285,1.5001,1.4052,1.4917,5516957.0
2024-03-03,1.4914,1.53,1.4249,1.4643,5853888.0
2024-03-04,1.4645,1.5,1.4156,1.4566,5686574.0
2024-03-05,1.4564,1.4963,1.2398,1.3462,13308753.0
2024-03-06,1.3463,1.4386,1.3038,1.4159,7669179.0
2024-03-07,1.416,1.4973,1.4071,1.4814,5508077.0
2024-03-08,1.4816,1.53,1.4415,1.4755,5828294.0
2024-03-09,1.4756,1.6373,1.4725,1.5433,7021508.0
2024-03-10,1.5435,1.6626,1.5163,1.6207,9053667.0
2024-03-11,1.6206,1.6818,1.5555,1.6614,7097625.0
2024-03-12,1.6619,1.7099,1.5744,1.6041,9988766.0
2024-03-13,1.604,1.6528,1.5609,1.6366,7049381.0
2024-03-14,1.6365,1.6664,1.4439,1.5247,10684453.0
2024-03-15,1.5252,1.5426,1.3376,1.456,14110864.0
2024-03-16,1.4562,1.4883,1.3208,1.3507,8658062.0
2024-03-17,1.3508,1.4208,1.2976,1.4026,4222055.0
2024-03-18,1.4026,1.4109,1.3,1.3149,4594888.0
2024-03-19,1.3135,1.3302,1.1824,1.2252,10591408.0
2024-03-20,1.2232,1.3649,1.2105,1.356,7010460.0
2024-03-21,1.3549,1.3713,1.3079,1.3543,3078046.0
2024-03-22,1.3546,1.3731,1.2882,1.3238,2745480.0
2024-03-23,1.3239,1.4084,1.3028,1.3803,2539142.0
2024-03-24,1.38,1.4141,1.3586,1.4061,5194305.0
2024-03-25,1.4061,1.449,1.3993,1.423,4266005.0
2024-03-26,1.4232,1.463,1.3946,1.4131,3953688.0
2024-03-27,1.4131,1.4656,1.3679,1.3977,5430857.0
2024-03-28,1.3986,1.4365,1.3745,1.4025,2866613.0
2024-03-29,1.4031,1.4383,1.37,1.3816,3216403.0
2024-03-30,1.3818,1.411,1.3603,1.3685,2627966.0
2024-03-31,1.3682,1.402,1.3638,1.4015,1810006.0
2024-04-01,1.402,1.412,1.3122,1.3404,3579073.0
2024-04-02,1.3405,1.3447,1.2423,1.2913,5488846.0
2024-04-03,1.292,1.3477,1.241,1.2707,4873879.0
2024-04-04,1.2703,1.31,1.2374,1.2633,3895252.0
2024-04-05,1.2622,1.2691,1.23,1.2617,3341148.0
2024-04-06,1.2609,1.283,1.2554,1.2559,1992698.0
2024-04-07,1.2558,1.2724,1.2215,1.2424,3360995.0
2024-04-08,1.2421,1.3501,1.223,1.3035,9181727.0
2024-04-09,1.3035,1.311,1.2235,1.2292,4236963.0
2024-04-10,1.2285,1.2462,1.1823,1.2455,3168385.0
2024-04-11,1.2456,1.282,1.2381,1.2556,2644568.0
2024-04-12,1.2556,1.28,1.05,1.1064,7013707.0
2024-04-13,1.1064,1.1384,0.81,0.9858,16354134.0
2024-04-14,0.9859,1.11,0.9479,1.0995,9817785.0
2024-04-15,1.0994,1.155,0.9662,1.0038,7538707.0
2024-04-16,1.0034,1.0247,0.9286,1.0026,4167252.0
2024-04-17,1.0027,1.0691,0.9721,1.017,5808897.0
2024-04-18,1.0164,1.0892,0.9946,1.08,2953174.0
2024-04-19,1.0796,1.1424,1.018,1.1155,2863410.0
2024-04-20,1.1167,1.1539,1.0895,1.1382,2468933.0
2024-04-21,1.1382,1.18,1.1219,1.1394,2326271.0
2024-04-22,1.1394,1.2,1.1377,1.1873,2533571.0
2024-04-23,1.1875,1.2042,1.1295,1.1436,3354691.0
2024-04-24,1.1435,1.1639,1.0751,1.0928,2593699.0
2024-04-25,1.0925,1.1098,1.0468,1.0876,2445414.0
2024-04-26,1.0879,1.1017,1.0492,1.0696,1986969.0
2024-04-27,1.0716,1.0773,1.0158,1.053,2095803.0
2024-04-28,1.0528,1.0838,1.0475,1.0521,1919082.0
2024-04-29,1.0523,1.068,0.9913,1.0386,4628851.0
2024-04-30,1.0387,1.0678,0.9622,1.0573,5532057.0
2024-05-01,1.0568,1.0763,0.9295,1.0281,8060955.0
2024-05-02,1.0281,1.0744,0.9906,1.0597,2830023.0
2024-05-03,1.0596,1.2305,1.0474,1.1885,9879338.0
2024-05-04,1.1884,1.2497,1.1553,1.1838,5497743.0
2024-05-05,1.1844,1.1932,1.1266,1.1412,2864672.0
2024-05-06,1.142,1.1897,1.1121,1.1247,2914148.0
2024-05-07,1.1252,1.152,1.1017,1.1047,1927695.0
2024-05-08,1.1044,1.1325,1.0961,1.1275,1563245.0
2024-05-09,1.1277,1.1392,1.0838,1.116,2032561.0
2024-05-10,1.1161,1.1297,1.0716,1.0851,1707930.0
2024-05-11,1.0854,1.1,1.0702,1.0708,890960.0
2024-05-12,1.0709,1.1018,1.0654,1.0777,1060020.0
2024-05-13,1.0777,1.0953,1.0318,1.0725,2047037.0
2024-05-14,1.0721,1.0838,1.0288,1.0451,1806257.0
2024-05-15,1.0454,1.1043,1.0402,1.0767,1622292.0
2024-05-16,1.0766,1.09,1.0427,1.0756,2215571.0
2024-05-17,1.0755,1.1111,1.0678,1.0982,1316056.0
2024-05-18,1.0982,1.1174,1.0783,1.1009,2187857.0
2024-05-19,1.1009,1.1109,1.0637,1.0712,1536649.0
2024-05-20,1.071,1.1343,1.06,1.1329,2863337.0
2024-05-21,1.1329,1.1536,1.1,1.1067,3203535.0
2024-05-22,1.1069,1.1266,1.0817,1.1114,2403057.0
2024-05-23,1.1117,1.13,1.0603,1.1046,2694247.0
2024-05-24,1.1048,1.1333,1.08,1.1132,2019015.0
2024-05-25,1.1131,1.1282,1.106,1.1246,1883057.0
2024-05-26,1.1241,1.1274,1.1,1.1,1005655.0
2024-05-27,1.1005,1.141,1.1,1.1227,1625955.0
2024-05-28,1.123,1.1674,1.1006,1.1573,3373622.0
2024-05-29,1.1565,1.2043,1.1314,1.1738,3523621.0
2024-05-30,1.1744,1.2236,1.1666,1.2156,4571952.0
2024-05-31,1.2156,1.253,1.191,1.2065,3154903.0
2024-06-01,1.2074,1.3085,1.195,1.2848,3974607.0
